,Ticker,Fiscal Date,Revenue (USD),Fiscal Year,Total Revenue,Market Share
319,REG,2005-12-31,394038000,2005,122693850000,0.0032115546133730417
320,ROST,2025-01-31,21129219000,2025,1400430642000,0.015087658300467264
321,ROST,2024-01-31,20376941000,2024,2479997933000,0.008216515315942403
322,ROST,2023-01-31,18695829000,2023,2367952111000,0.007895357728372573
323,ROST,2022-01-31,18916244000,2022,2233563149000,0.008469088509303661
324,ROST,2021-01-31,12531565000,2021,2050036470000,0.006112849787496708
325,ROST,2020-01-31,16039073000,2020,1820831850000,0.008808651386452846
326,ROST,2019-01-31,14983541000,2019,1667848375000,0.008983754893186858
327,ROST,2018-01-31,14134732000,2018,1584911418000,0.008918310411213153
328,ROST,2017-01-31,12866757000,2017,1456241666000,0.008835591852925323
329,ROST,2016-01-31,11939999000,2016,1372156286000,0.008701631965558768
330,ROST,2015-01-31,11041677000,2015,1304704129000,0.008462973906937026
331,ROST,2014-01-31,10230353000,2014,1221769594000,0.008373389753878586
332,ROST,2013-01-31,9721065000,2013,1171525917068,0.008297780576915527
333,ROST,2012-01-31,8608291000,2012,1120003482000,0.007685950212072645
334,ROST,2011-01-31,7866100000,2011,1046792430000,0.007514479255452774
335,ROST,2010-01-31,7184213000,2010,980998252000,0.007323369827982119
336,ROST,2009-01-31,6486139000,2009,951927858000,0.006813687555722316
337,ROST,2008-01-31,5975212000,2008,907379923893,0.006585126960230838
338,ROST,2007-01-31,5570210000,2007,853341811000,0.0065275249943190705
339,ROST,2006-01-31,4944179000,2006,767562923000,0.006441398941829816
340,SPG,2024-12-31,5963798000,2024,2479997933000,0.0024047592623537882
341,SPG,2023-12-31,5658836000,2023,2367952111000,0.002389759477699167
342,SPG,2022-12-31,5291447000,2022,2233563149000,0.0023690608444937233
343,SPG,2021-12-31,5116789000,2021,2050036470000,0.002495950230582971
344,SPG,2020-12-31,4607503000,2020,1820831850000,0.0025304384916157966
345,SPG,2019-12-31,5755189000,2019,1667848375000,0.0034506667909785264
346,SPG,2018-12-31,5657919000,2018,1584911418000,0.0035698644957329723
347,SPG,2017-12-31,5538640000,2017,1456241666000,0.0038033797063460758
348,SPG,2016-12-31,5435229000,2016,1372156286000,0.003961085960437017
349,SPG,2015-12-31,5266103000,2015,1304704129000,0.004036243070707719
350,SPG,2014-12-31,4870818000,2014,1221769594000,0.003986691127296134
351,SPG,2013-12-31,5170138000,2013,1171525917068,0.0044131657052362975
352,SPG,2012-12-31,4880084000,2012,1120003482000,0.0043572043109058834
353,SPG,2011-12-31,4306432000,2011,1046792430000,0.004113931163984439
354,SPG,2010-12-31,3957630000,2010,980998252000,0.004034288534083953
355,SPG,2009-12-31,3775216000,2009,951927858000,0.003965863556017498
356,SPG,2008-12-31,3783155000,2008,907379923893,0.004169317504589309
357,SPG,2007-12-31,3650799000,2007,853341811000,0.004278237574837406
358,SPG,2006-12-31,3332154000,2006,767562923000,0.0043412128180662524
359,SPG,2005-12-31,3166853000,2005,122693850000,0.025811016607596875
360,TGT,2025-01-31,106566000000,2025,1400430642000,0.07609516444728007
361,TGT,2024-01-31,107412000000,2024,2479997933000,0.04331132642117408
362,TGT,2023-01-31,109120000000,2023,2367952111000,0.04608201301584515
363,TGT,2022-01-31,106005000000,2022,2233563149000,0.0474600416144312
364,TGT,2021-01-31,93561000000,2021,2050036470000,0.04563870027151273
365,TGT,2020-01-31,78112000000,2020,1820831850000,0.0428990738491311
366,TGT,2019-01-31,75356000000,2019,1667848375000,0.045181565140776064
367,TGT,2018-01-31,72714000000,2018,1584911418000,0.04587890476034163
368,TGT,2017-01-31,69495000000,2017,1456241666000,0.04772216152205605
369,TGT,2016-01-31,73785000000,2016,1372156286000,0.0537730291751912
370,TGT,2015-01-31,72618000000,2015,1304704129000,0.05565859598808704
371,TGT,2014-01-31,72596000000,2014,1221769594000,0.059418731941367986
372,TGT,2013-01-31,73301000000,2013,1171525917068,0.06256882492489095
373,TGT,2012-01-31,69865000000,2012,1120003482000,0.06237927035301842
374,TGT,2011-01-31,67390000000,2011,1046792430000,0.064377614958488
375,TGT,2010-01-31,65357000000,2010,980998252000,0.0666229525554751
376,TGT,2009-01-31,64948000000,2009,951927858000,0.06822785934267721
377,TGT,2008-01-31,63367000000,2008,907379923893,0.06983513557158265
